title,time,id,content
['十年内欧洲化工或被淘汰出局'],"['\r\n   \r\n   ', '2014-3-19']",da4fa262-9c77-11e8-9260-000c29c468ed,"['\u3000\u3000英力士公司董事长吉姆·拉特克利夫上周表示，如果管理部门再不采取措施提升欧洲地区的竞争力，10年内欧洲化工行业或被淘汰出局。', '\u3000\u3000拉特克利夫在写给欧盟委员会主席巴罗佐的一封公开信中称，未来10年内欧洲化工行业或将重蹈欧洲纺织行业的覆辙，因无力应对国际竞争而被市场无情淘汰。他表示，在过去的3年，英力士公司欧洲业务利润已经减半，而在美国的业务利润则增至原来的3倍，因为美国的能源成本比欧洲低50%。', '\u3000\u3000拉特克利夫在信中提及，中东地区的石化产能仍在继续快速扩张，而与伊朗贸易的重新开放或将令中东地区出口欧洲的廉价石化产品大幅增加，从而进一步施压欧洲化工生产商。拉特克利夫估计，受页岩气原料优势的刺激，未来美国将进一步扩大对欧洲的化学品出口，而当前还是生产商主要出口市场的中国在未来几年将逐步实现化工产品的自给自足。', '\u3000\u3000与亚洲、北美和中东快速增长的势头相反，英国自2009年以来已经关闭了22座化工厂，而且期间没有新建化工厂。拉特克利夫表示：“这种明显的对比显示出当前欧洲化工行业的竞争力已经大幅降低，如果政策再不进行调整，那么竞争力还将进一步下降。欧洲没有诸如北美和中东的原料优势，管理部门又实施了比全球其他地区更加严格的环保法规，这种单边的行动大大削弱了欧洲制造业的竞争力。”', '\u3000\u3000拉特克利夫进一步指出，全球化工行业的产值已经达到4.3万亿美元，而排名第二的汽车产业产值才1万亿美元，因此化工行业在全球经济中的地位非常突出。由此可见，欧洲化工行业如果被淘汰出局的话，不仅对欧洲经济造成严重打击，而且还将带来政治的动荡。无论从战略、还是从经济角度考虑，化工行业都应该成为支柱产业。虽然欧洲化工行业在技术上具有优势，但是当前全球化工行业的生存和发展取决于具有竞争优势的能源和原料成本，单一的技术领先已经难以带领欧洲化工行业从困境中走出。', '\u3000\u3000就在不久前，欧洲化学工业委员会（Cefic）也呼吁欧洲需要具有价格竞争力的能源供应以及令企业能够负担得起的气候政策。Cefic表示，当前美国的天然气和电力成本仅分别是欧盟的三分之一和二分之一。如果欧盟希望在2020年前实现工业对于欧盟GDP的贡献达到20%的目标，那么工业部门就不应受到欧盟新增政策成本的束缚。', '\u3000\u3000Cefic会长休伯特·曼得里表示：“欧盟竞争委员会应该考虑欧洲工业的竞争能力，为欧洲工业企业争取具有价格竞争力的能源供应，这对于欧洲能源密集型的工业来说是优先的选择。能源和气候政策必须让企业能够负担得起，否则的话，随着欧洲工业竞争力的下降，将导致该地区工业化水平倒退。只有在一个合理的框架下，欧洲化学工业才能继续为欧盟低碳经济作出贡献。欧盟应该取消成本昂贵的单边措施，这在过去已经证实是失败的。”']"
['印度招标再次拉低国内尿素行情'],"['\r\n   \r\n   ', '2014-3-14']",dbda7c9c-9c77-11e8-9260-000c29c468ed,"['\u3000\u30003月12日印度不定量尿素招标中：共有22家公司投标，其中有16个公司来自中国，此次招标总共206-209万吨投标量，另有78-80万吨可选量。西海岸的最低报价CFR325美元/吨,东海岸最低报价CFR326.75美元/吨。价格低于CFR330美元/吨的投标量在135-179万吨，来自中国的固定量约在94-96万吨。印度至中国运费约18美元/吨，保守估计中国离岸价约在307-309美元/吨，倒推出厂仅为1433元/吨。而当前国内尿素华北、华东主流报价仍在1500元/吨以上，与此价格相差不小，且多数厂库存压力较大，在内需表现薄弱、行业开工率较高的基础下，国内尿素价格或将与此次标购价格靠拢，通过出口走量来缓解市场过剩矛盾，具体仍需看印度最终的定标情况。预计近期国内尿素行情继续盘整走低。']"
['拜耳作物科学收购阿根廷Biagro集团'],"['\r\n   \r\n   ', '2014-3-12']",dd877e14-9c77-11e8-9260-000c29c468ed,"['\u3000\u3000拜耳作物科学近日签署协议收购Biagro集团。Biagro集团总部位于阿根廷布宜诺斯艾利斯省GralLas Heras市，是种子处理生物解决方案的生产商和销售商。该协议的具体财务细节并未披露。', '\u3000\u3000拜耳作物科学Seed Growth业务负责人Matthias Haug表示，“我们的目标是提供具有吸引力的高质量的种子、种衣剂、设备和服务等相关产品组合来进一步扩大我们全球Seed Growth业务。Biagro的产品线能对我们的产品组合进行有价值的补充，并从根本上提高大豆的产量。我们将继续扩大在种子生物处理方面的竞争力，针对种子本身或者田间种植提供易于使用的解决方案。”', '\u3000\u3000“这次收购表明阿根廷市场在我们发展计划中具有战略意义。”拜耳作物科学拉美地区负责人Eduardo Estrada Whipple说，“大豆粉主要用于动物饲料，具有强劲的全球需求。我们很高兴能通过Biagro的技术满足阿根廷以及该地区大豆农民的产量需求。”', '\u3000\u3000美国、巴西以及阿根廷生产全球约80%的大豆。高产量以及产量的持续提高是大豆种植者们的主要目标，以期满足全球对蛋白质的需求。拜耳作物科学在种子处理业务方面拥有上百年的经验，并投资大量资源创建灵活、健全、便捷的大豆管理产品，以此提升产量、增加农民收入。', '\u3000\u3000氮肥对作物生长和大豆种子生产至关重要大豆种植需要大量氮肥，其中大多数氮肥是从最初的开花期一直施用到结籽阶段。含有高质量根瘤菌束的接种菌可以使作物根部固定周围环境中的氮肥，这是一种向大豆和其它豆科作物供应氮肥的有效且经济的方式。提高营养物质的摄入可以增强作物生长、提供更有活力的根部结构以及更加绿色的作物枝叶，给大豆种植者们带来更高的产量和更多的利润。', '\u3000\u3000在阿根廷，Biagro在生产和销售高效率的接种菌和生物种子处理方案领域是一家备受尊敬的公司。种子发展产品负责人Martin Gruss说：“和我们的新同事一起，我们可以给发展中的种子处理行业继续开发销售特制的解决方案。”拜耳作物科学地区负责人Hernán Bagliero补充道：“通过使用包括化学植保产品、生物植物生长促进剂以及接种菌在内的创新产品，大豆种植者可以在播种前获得良好的种子处理。”', '\u3000\u3000该项交易也帮助拜耳作物科学在拉美地区成功建立大豆种子业务。该公司努力成为大豆种植者重要的业务合作伙伴。', '\u3000\u3000Biagro成立于1984年，拥有约140名工作人员，并在阿根廷和巴西拥有生产工厂。其成熟品牌的产品组合包括应用于种子的接种菌、促进植物生长的微生物以及其它以细菌和真菌为基础的害虫综合管理产品。']"
['2020年阿布扎比计划将海上石油日产量提高'],"['\r\n   \r\n   ', '2014-3-10']",def1c4b2-9c77-11e8-9260-000c29c468ed,"['\u3000\u3000阿联酋《联合报》报道，据阿布扎比海上石油作业公司(ADMA)发布的报告，ADMA投资220亿美元用于开发新油田和老油田增产，计划将日产量由目前的55万桶～60万桶提高到2020年的100万桶。2013年ADMA日石油产量提高了1万桶，达到61万桶。', '\u3000\u3000ADMA正在开发UmmLulu、Nasr和Satah al-Razboot三个海上新油田，提高Umm Shaif和Lower Zakum两个现有油田的产量，以达成增产目标。三个新油田日产量计划达到30万桶', '\u3000\u30002013年ADMA签署了Umm Lulu和Satah al-Razboot两个油田的4项开发合同，总金额约52亿美元。']"
['德国前总理或将进入俄罗斯石油公司董事会'],"['\r\n   \r\n   ', '2014-3-6']",e0939318-9c77-11e8-9260-000c29c468ed,['\u3000\u3000英国BP石油公司提名前德国总理施罗德进入俄罗斯石油公司董事会，如获批准，施将成为BP公司在俄石油公司董事会的第二位代表。2013年，在俄石油公司出资166.5亿美元和12.84%的股份购换回其在TNK-BP公司的股份及TNK工业控股有限公司的股份。英国BP公司以48.7亿美元收购俄罗斯石油天然气公司手中持有的俄石油公司5.66%股份。目前，英国BP公司持有俄石油公司19.75%股份。']
['伊朗酝酿修改石油合同模式'],"['\r\n   \r\n   ', '2014-3-4']",e1a9a44a-9c77-11e8-9260-000c29c468ed,"['\u3000\u3000据悉，伊朗石油部正酝酿修改石油合同模式，以吸引更多海外投资者。', '\u3000\u3000伊朗石油部合同修改委员会主席马赫迪·侯赛尼说，伊朗正设计新合同模式，以适应制裁放松后吸引海外投资者的需要。伊朗希望采用双赢的合同模式，使投资者的风险和回报更平衡。', '\u3000\u3000候赛尼没有透露新合同模式细节，但他表示去年10月起伊朗就已着手修改合同条款，旨在保障与海外投资者的长期合作关系。未来5年，伊朗能源业需1500亿美元的投资。伊朗国内资金紧张，企业技术和管理经验不足，亟待引进海外投资和技术推进能源项目发展。但合同模式修改完成后，还需议会的批准。', '\u3000\u3000伊朗石油合同目前主要采用回购模式，即石油勘探或开发项目若在规定期限内达到规定产量，伊朗将根据成本加上固定比例收益从石油公司购回该项目。', '\u3000\u3000石油合同比较常见的模式包括服务模式和产品分成模式。服务模式下，项目产量达到一定数量后，石油公司可从额外产量中获得一定现金收益，产量越大收益越多；产品分成模式下，石油公司可获得项目一定比例的产量作为报酬。', '\u3000\u3000去年底，伊核问题相关方在日内瓦达成第一阶段协议，伊朗承诺，暂停部分核计划换取西方放松部分制裁。协议于今年1月生效，西方国家将逐步放松针对伊朗能源、贵金属、汽车、航空等行业的部分制裁，并解冻约42亿美元的伊朗海外资产。', '\u3000\u3000伊朗总统鲁哈尼在瑞士达沃斯世界经济论坛年会上说，愿与周边国家重启工业与贸易合作，与欧洲国家实现经贸关系正常化。据报道，伊朗石油部长赞加内在多个国际场合邀请道达尔、壳牌、BP等公司到伊朗投资。']"
['巴西对华酸式焦磷酸钠作出反倾销初裁'],"['\r\n   \r\n   ', '2014-2-28']",e35af334-9c77-11e8-9260-000c29c468ed,"['\u3000\u30002014年2月24日，巴西发展、工业和外贸部发布公告，对原产于或进口自中国、美国和加拿大的酸式焦磷酸钠作出反倾销初步裁决。其中，中国涉案企业的临时反倾销税率为769.37～2201.07美元/吨，普遍税率为2225.34美元/吨；加拿大涉案企业的临时税率为2053.11美元/吨，普遍税率为2053.11美元/吨；美国涉案企业的临时税率为1932.57美元/吨，普遍税率为1932.57美元/吨。', '\u3000\u30002013年11月18日，巴西对进口自中国、美国和加拿大的酸式焦磷酸钠启动反倾销调查，涉案产品的海关编码为2835.39.20。']"
['杜邦先锋与美国密苏里大学、美国农业部达成突破性合作'],"['\r\n   \r\n   ', '2014-2-26']",e5231b10-9c77-11e8-9260-000c29c468ed,"['\u3000\u3000近日，杜邦与密苏里大学、美国农业部农业研究服务中心（USDA-ARS）宣布了一项创新合作，三方将汇集土壤制图资源、预测性技术以及专家经验，通过更好的氮肥应用管理以及其它田间投入来帮助种植者们持续提高作物收成。', '\u3000\u3000该项公私合作的项目旨在通过田间与作物模型加强可持续作物保护。该模型对种植者田间的特定土壤、气候、水域面积以及生产条件等提供实时信息。', '\u3000\u3000杜邦先锋、密苏里大学以及农业部农业研究服务中心之间为期三年的协议将三方在精准农业感应器和土壤制图等方面的代表性优势相结合，这其中包括土壤类型分类、测绘以及水域面积研究。', '\u3000\u3000杜邦将通过其独特的计算机程序提供最先进的高分辨率技术，密苏里大学和农业研究服务中心的合作也将极大地提高土壤制图的分辨率。这将是迄今为止最精确的土壤测绘单位。高分辨率的土壤信息将使氮肥等作物投入品获得更佳的定位与管理。', '\u3000\u3000建立在公共土壤调查数据上的增强型土壤地图将可以向杜邦农业服务决策（Decision Agriculture Services）提供支持，帮助作物种植者及时作出决策，以持续提高作物收成和单位产出。土壤分析过程将更好的识别独特的土地区域，即环境响应单位区域（ERUs）。', '\u3000\u3000这些ERUs可以用来开发一系列管理区域。先锋公司咨询师将协助种植者作出合理的投入与管理计划，获得最佳单位产出，达成他们种植目标。', '\u3000\u3000密苏里大学农学家Brent Myers博士说：“公共土壤地图非常有价值，但是现在我们获得了更高的分辨率来追踪田块的区别。通过ERUs可以识别田间更小面积的土地，并采用类似的管理方法。这项合作有助于为创新土壤地形科学和美国数百万英亩土地决策建立联接。”', '\u3000\u3000氮肥是最重要的农业投入之一，但也是现代农业生产中最复杂和不确定的因素之一。此外，除了对环境变化较敏感外，氮肥的有效性还受到土壤类型和每天的气象条件的影响。通过使用高分辨率基准面数据以及地形水域数据，种植者们可以更好的确定水和氮肥在某个区域或整个县区的地下变动情况。加上土壤和生产信息，种植者们可以更精确的实时计划、定位和管理氮肥施用。', '\u3000\u3000作为下一代决策服务（Next Generation Decision Services）中的一部分，这些服务的具体信息将由杜邦在近期宣布。']"
['美国政府开启对欧洲原油出口大门'],"['\r\n   \r\n   ', '2014-2-24']",e6d0796c-9c77-11e8-9260-000c29c468ed,"['\u3000\u3000美国政府近期有限重启多年未有的对欧原油出口，这对有关企业是否在挑战数十年来颇具争议的美国原油出口禁令限制提出了新的问题。1975年，美国立法禁止绝大多数原油出口，只有出口加拿大和国外原油进口后再出口等少数情况例外。', '\u3000\u3000', '\u3000\u3000路透社通过美国政府信息公开法申请获取的公开信息显示，美国商务部去年批准了美国原油出口英国和意大利的许可证各两份。今年1月，对德国原油出口的申请也已提交审批。有关资料显示，去年美国颁发对英国的原油出口许可证，至少是2000年以来的第一次，也是2008年以来首次向欧洲出口原油。', '\u3000\u30002013年1月以来，美国工业和安全署审批颁发了120份原油出口许可证，其中近九成系出口到加拿大。', '\u3000\u3000目前尚不清楚美国工业和安全署审批颁发对欧原油出口的依据是什么。目前美国相关法律规定，允许外国进口美国的原油在不混加美国本土生产原油的情况下再出口到国外。在极罕见的案例中，规定也允许用美国本土原油交换国外原油或增值炼油产品，这一规定在美国本土轻质页岩油产量增加情况下，成了有关企业的一个越来越有吸引力的选择。', '\u3000\u3000', '\u3000\u3000无论美国去年有限恢复对欧原油出口是基于什么原因，这本身都会加剧华盛顿内部关于美国原油出口禁令是否应当予以废除的争论。', '\u3000\u3000由于美国本土页岩油产量增长极其迅猛，甚至最早今年内就将导致美国国内炼油企业产能的全部饱和，如何解决这一问题，迫切需要美国制定新的能源政策。这种情况可能也会引发另一种期待，那就是奥巴马政府或许会允许企业利用现有法规的某些例外规定，慢慢增加美国本土原油出口量，但在政策上却不立即彻底废除出口禁令。', '\u3000\u3000随着美国原油产量创下25年新高，一方面，许多石油开采企业都着眼于开拓美国以外的其他市场，并呼吁美国石油出口解禁。这些企业认为出口禁令是上世纪70年代留下来的老古董，已经不适应时代需要了。美国国内的一些政客也支持石油生产企业的这一立场。但在另一方面，一些受益于国内低油价的美国炼油企业则反对本土原油出口，并称此举可能会让美国国内普通消费者吃亏。', '\u3000\u3000如果美国放宽更多原油出口到欧洲，那么大西洋对岸的炼油企业自然将从成本相对较低、而质量较高的美国页岩油中受益，进而有助于欧洲炼油企业解决高生产成本导致效益低下的问题。', '\u3000\u3000', '\u3000\u3000美国对加拿大的原油出口最早是20世纪80年代由里根总统批准，近年来美国对加出口原油量增长迅猛。去年11月，美国出口加拿大原油量高达20', '\u3000\u3000万桶/日，这一数字是1999年来的峰值。过去10年来，也有一些原油出口许可证授予对中美洲和亚洲的出口，出口的油品主要是加拿大的重油或者外国石油的再出口。', '\u3000\u3000但此前，欧洲国家极少出现在美国原油出口目的地名单上。2011年，曾有两份对瑞士出口原油的申请和一份对荷兰出口的申请，但都未获得批准。据了解，近期美国批准的对英国原油出口总值达18亿美元，对意大利出口总值达31.2亿美元，而正在审批中的对德国原油出口总值为26亿美元。', '\u3000\u3000由于美国本土轻质原油出口欧洲是个新生事物，也没有明确的贸易路线和油轮航运费率可以比较，因此从经济上看，这种原油出口与加拿大重油出口的效果相比如何还不好说。虽然加拿大重油的售价折扣力度很大，但大多数欧洲炼油商并没有处理重油的工艺。与此形成对比的是，低硫超轻质巴肯油田的油品会很受欧洲欢迎，但这种油的价格相对较高，而且美国本土炼油商也抢着首选本土轻质油作为炼油原料。', '\u3000\u3000也有人猜测，美国轻质原油出口可能是为了换取质量更高或者数量更多的原油或炼油产品。但基于油品交换理由申请原油出口的过程可能非常复杂，出口商必须证明交易整体上符合美国国家利益，而且待出口的美国本土油品无法在国内卖出合理的价格。此外，出口商还必须保证一旦美国国内原油供应受到严重威胁，相关原油出口必须终止。']"
['2013年阿根廷农化品与肥料出口增长10%'],"['\r\n   \r\n   ', '2014-2-19']",e8867144-9c77-11e8-9260-000c29c468ed,"['\u3000\u30002013年阿根廷农化品和肥料出口额增长10.1%，达6.435亿美元，而进口额达到22.55亿美元，增长5%，进口总量增长2.1%。根据经济研究部门（IES）的报告显示，进出口的增长归功于阿根廷国内农业领域需求的复苏以及对各种限制性措施的灵活性运用。', '\u3000\u3000该份报告同时表明，2013年的氮肥消费比2012年增长7.5%，这可以从侧面说明2013-2014种植季农业总产量将会有所增长。', '\u3000\u3000截至2013年12月，农化品和肥料的进出口总额总体呈现上升趋势。具体而言，出口额取得一定增长，进口额增长幅度略小。从进出口总量来看，出口总量有所下降而进口总量略有增长。', '\u3000\u3000农化品与肥料产品的出口额从2012年的5.844亿美元增加到2013年的6.435亿美元，增幅达10.1%，与2012年15.2%的增长保持了一致的趋势。该出口额的增长得益于售价的大幅上升（增长54.4%），抵消了出口总量下降28.7%所带来的损失。', '\u3000\u3000在出口产品中，草甘膦除草剂产品对出口额的增长贡献了较大的份额，增长了52.4%，达到2.803亿美元。灭鼠剂的出口也获得了较大增长，达1.61亿美元，增幅为11.6%，杀菌剂增长51.7%，占总份额较少的消毒剂产品增长16.7%，而氮肥出口额下降48.2%，只有0.816亿美元。', '\u3000\u3000阿根廷2013年农化和肥料出口地主要集中在地区市场，尤其是以下五个国家：巴西为第一出口国，占40.4%，乌拉圭仍旧保持第二位（16.1%），巴拉圭排第三，占14%，智利下降到第四位，占10.9%。', '\u3000\u3000玻利维亚占比10.3%，与智利相差不多。这几个国家占了阿根廷出口额的91.7%，除了智利与巴拉圭的排位有所改变外与2012年基本情况变化不大。', '\u3000\u3000除以上几个国家，其它国家的占比都较小，其中澳大利亚最多，占1.8%，墨西哥、哥伦比亚、委内瑞拉和秘鲁都在1.8%以下。除上述国家外，其余42个国家总占比只有2.8%。']"
